이름,유형,도로명주소,지번주소,전화번호,홈페이지,테마
브라운캐빈,펜션,제주특별자치도 제주시 애월읍 소길남길 190-40,애월읍 상가리 54-2,010-2011-7937,http://browncabin.co.kr/,숙소
돈내코펜션,펜션,제주특별자치도 서귀포시 돈내코로67번길 30,토평동 1814-2,010-9660-4894,http://www.donnaeko.com/,숙소
스타하우스,펜션,제주특별자치도 제주시 애월읍 하광로 540-66,애월읍 광령리 2863-2,064-733-5212,https://jejustarhouse.modoo.at/,숙소
바다풍경펜션,펜션,제주특별자치도 제주시 애월읍 애월해안로 923,애월읍 하귀2리 2676,1833-9306,http://jejuseaps.kr/,숙소
제주아우룸,펜션,제주특별자치도 서귀포시 보목로64번길 22,보목동 603-2,064-733-6888,http://jejuaurum.com/,숙소
풍경호텔,호텔,제주특별자치도 서귀포시 남성중로 147,서홍동 586,064-733-3355,https://poonggyung.modoo.at/,숙소
코코스펜션,펜션,제주특별자치도 제주시 한림읍 협재2길 26,한림읍 협재리 2523-1,064-796-8262,https://pridge.kr/v2/camping/campinginfo/105117,숙소
제주애월여가한옥,한옥숙소,제주특별자치도 제주시 애월읍 천덕로 399-86,애월읍 납읍리 686-1,010-9581-1400,http://yeogahanok.modoo.at/,숙소
해리안호텔,호텔,제주특별자치도 서귀포시 천제연로 153,중문동 2167-16,064-739-3030,http://www.haerian.kr/,숙소
호텔B,호텔,제주특별자치도 제주시 신대로12길 16,연동 292-38,,,숙소
애월더선셋리조트,"콘도,리조트",제주특별자치도 제주시 애월읍 일주서로 6111,애월읍 곽지리 1381,064-799-5943,http://www.aewolthesunset.com/,숙소
예스준게스트하우스,게스트하우스,제주특별자치도 제주시 서해안로 232 2층,도두일동 1727-5,010-2287-1590,http://yesjun.modoo.at/,숙소
보우힐리조트&펜션,펜션,제주특별자치도 서귀포시 대포연대로 50,대포동 1813,064-739-9075,https://bowoohill.co.kr/,숙소
더제이드,"여관,모텔",제주특별자치도 제주시 관덕로15길 7-1,일도일동 1331-1,064-717-7000,http://0647177000.tshome.co.kr/,숙소
김군빌리지게스트하우스,게스트하우스,제주특별자치도 제주시 어영길 1-1,용담삼동 2289-2,0507-1326-4347,https://naver.me/GnTyWCN9,숙소
오라스테이,"여관,모텔",제주특별자치도 제주시 무근성길 44,삼도이동 1088-1,064-751-9788,http://orastay.kr/,숙소
제주유스호스텔,유스호스텔,제주특별자치도 제주시 애월읍 방축길 128,애월읍 봉성리 1069,064-796-1812,http://jejuyouthhostel.com/,숙소
서문레지던스,펜션,제주특별자치도 제주시 서문로4길 16-8,용담일동 137-4,,https://seomunresidence.modoo.at/,숙소
나인스파빌,펜션,제주특별자치도 제주시 애월읍 하광로 518,애월읍 광령리 2970,064-727-1000,http://ninespavill.com/,숙소
솔펜션,펜션,제주특별자치도 제주시 구좌읍 해맞이해안로 2478,구좌읍 종달리 722,0507-1474-0239,http://solpension.com/,숙소
호텔가온제이스테이,"여관,모텔",제주특별자치도 서귀포시 서문로41번길 23,서귀동 309-26,064-749-2008,https://hotelgaon.modoo.at/,숙소
호텔G,"여관,모텔",제주특별자치도 제주시 남성로 117,삼도일동 710-8,064-753-4154,,숙소
FK알레그리아호텔,호텔,제주특별자치도 서귀포시 중앙로47번길 25,서귀동 319-2,064-803-0887,http://fkalegriahotel.co.kr/,숙소
스카이호텔,호텔,제주특별자치도 제주시 한림읍 한림로 917,한림읍 귀덕리 3646,0507-1335-7901,https://place-site.yanolja.com/places/1000104181,숙소
블랙샌즈호텔,호텔,제주특별자치도 제주시 선사로 8,삼양이동 2140-1,064-740-0800,http://jejublacksandshotel.com/,숙소
올레하우스펜션 본관,펜션,제주특별자치도 서귀포시 안덕면 사계북로41번길 188-14,안덕면 사계리 980,010-6816-0116,http://www.sanbangolleh.com/,숙소
제주마실게스트하우스,게스트하우스,제주특별자치도 제주시 서광로2길 11-16,오라일동 2444-34,064-753-0077,https://jejumasilguesthouse.modoo.at/,숙소
제주기역,게스트하우스,제주특별자치도 제주시 한림읍 협재1길 19-8,한림읍 협재리 1698,064-796-1309,,숙소
르메인호텔 서귀포,호텔,제주특별자치도 서귀포시 안덕면 화순로 119 1층,안덕면 화순리 1066-3,064-792-0323,,숙소
솔라시도펜션,펜션,제주특별자치도 서귀포시 막숙포로 83,법환동 172-2,064-739-7755,http://solarseado.co.kr/,숙소
트루엘레지던스,"여관,모텔",제주특별자치도 서귀포시 태평로371번길 18,서귀동 486-1,1670-1520,https://pf.kakao.com/_xcxgrxbs,숙소
끄라비펜션,펜션,제주특별자치도 서귀포시 토평로148번길 28,토평동 1729-4,064-733-3399,http://www.jejukrabi.com/,숙소
엘리시안제주 콘도,"콘도,리조트",제주특별자치도 제주시 애월읍 평화로 1738-116,애월읍 어음리 3914,064-798-7001,http://www.elysian.co.kr/main_jeju.asp?rcd=1,숙소
협재해수욕장 캠핑장,"야영,캠핑장",제주특별자치도 제주시 한림읍 협재리,,064-796-2404,,숙소
바다랑파도랑펜션,펜션,제주특별자치도 서귀포시 남원읍 태위로 594-10,남원읍 남원리 1399-1,064-764-5757,https://badanpadopension.modoo.at/,숙소
호텔하루,"여관,모텔",제주특별자치도 제주시 삼무로1길 3,연동 260-10,064-760-5900,https://blog.naver.com/jaejuharu,숙소
제주교래자연휴양림 야영장,"야영,캠핑장",제주특별자치도 제주시 조천읍 남조로 2023,조천읍 교래리 산 95,064-710-8673,http://www.jejustoneparkforest.com/,숙소
나디아펜션,펜션,제주특별자치도 제주시 애월읍 애원로 74,애월읍 애월리 1229-3,010-6564-5576,https://jejunadia.modoo.at/,숙소
중문시티호텔,호텔,제주특별자치도 서귀포시 중문상로 27,중문동 2050-5,064-805-7600,,숙소
성산아쿠아비치호텔,"여관,모텔",제주특별자치도 서귀포시 성산읍 일주동로 4258,성산읍 고성리 1090-16,064-780-3000,,숙소
디오션힐,펜션,제주특별자치도 서귀포시 안덕면 사계북로 208,안덕면 사계리 204,064-792-0102,https://theoceanhill.kr/,숙소
노형호텔,"여관,모텔",제주특별자치도 제주시 수덕1길 7,노형동 1288-4,064-747-2260,https://www.nohyunghotel.com/,숙소
소낭게스트하우스 1호점,게스트하우스,제주특별자치도 제주시 구좌읍 월정1길 1,구좌읍 월정리 891-7,010-6665-7149,https://blog.naver.com/yoo_banjang,숙소
콤마앤리조트,"콘도,리조트",제주특별자치도 서귀포시 안덕면 사계중앙로3번길 22,안덕면 사계리 2266-1,064-903-1177,http://www.commajeju.com/,숙소
한라산국립공원 관음사지구야영장,"야영,캠핑장",제주특별자치도 제주시 산록북로 588,오등동 산 180-3,,http://www.jeju.go.kr/hallasan/index.htm,숙소
건축학개론펜션,펜션,제주특별자치도 서귀포시 성산읍 신풍하동로 224-33,성산읍 신풍리 179,064-784-0007,https://www.instagram.com/gunchuk_jeju,숙소
펜션연리,펜션,제주특별자치도 서귀포시 논짓물로48번길 3,하예동 463-1,064-739-2564,http://www.pensionyeoli.com/,숙소
더비치펜션,펜션,제주특별자치도 제주시 서해안로 486-4,용담삼동 2342-2,064-711-8831,http://www.thebeachjeju.com/,숙소
아쿠아뷰티크,펜션,제주특별자치도 제주시 구좌읍 해맞이해안로 522,구좌읍 행원리 1515-9,0507-1441-1026,http://aquabeautique.com/,숙소
사하라호텔,호텔,제주특별자치도 제주시 서광로 265,삼도일동 559-10,064-721-0707,,숙소
하모니리조트,"콘도,리조트",제주특별자치도 제주시 한림읍 협재로 213,한림읍 협재리 964-1,064-796-8441,http://www.jejuharmony.com/,숙소
도체비낭게스트하우스,게스트하우스,제주특별자치도 서귀포시 안덕면 사계남로 64-11,안덕면 사계리 2325-7,010-8546-8554,http://blog.naver.com/dochebinang,숙소
대정시크릿풀빌라&리조트,펜션,제주특별자치도 서귀포시 대정읍 노을해안로 216-6,대정읍 영락리 1551-28,010-4448-9870,http://daejeongsecret.com/,숙소
뉴오션리조트,"콘도,리조트",제주특별자치도 제주시 애월읍 고내로13길 59,애월읍 고내리 300-1,064-799-0797,https://pridge.kr/v2/camping/campinginfo/114279,숙소
부영CC관광호텔,호텔,제주특별자치도 서귀포시 남원읍 남조로 960,남원읍 수망리 628-8,064-766-5511,http://www.booyoungcc.co.kr/,숙소
호텔52,호텔,제주특별자치도 서귀포시 대정읍 신영로36번길 35,대정읍 하모리 1089-23,064-794-1831,https://blog.naver.com/jejuhotel52,숙소
부티크스테이스놉,펜션,제주특별자치도 서귀포시 예래해안로 17,하예동 1795-1,064-738-3555,http://www.jejusnob.com/,숙소
린든게스트하우스,"여관,모텔","제주특별자치도 제주시 서광로 278 줌타워 6, 7층",이도이동 1781-5,064-722-0419,https://lyndon.modoo.at/,숙소
퓨어스테이오션,호텔,제주특별자치도 제주시 서해안로 346-9 1층,도두이동 719-1,064-746-7895,,숙소
곶자왈거문오름펜션,펜션,제주특별자치도 제주시 조천읍 선교로 371-10,조천읍 선흘리 1774-2,064-784-5233,https://pridge.kr/v2/camping/campinginfo/102575,숙소
제주바다목장 다이브리조트,"콘도,리조트",제주특별자치도 제주시 한경면 한경해안로 565,한경면 신창리 542-9,064-773-9997,http://jejumarineranch.com/,숙소
애월오션스테이,펜션,제주특별자치도 제주시 애월읍 애월해안로 412,애월읍 고내리 76-1,010-5699-6402,http://kbs1.kr/h/jjaewolocean/,숙소
사계여행,게스트하우스,제주특별자치도 서귀포시 안덕면 산방로 262,안덕면 사계리 236-2,010-7742-9791,http://262stay.modoo.at/,숙소
호텔연,호텔,제주특별자치도 서귀포시 솔동산로22번길 17-2,서귀동 587-43,,,숙소
제주미주호텔,"여관,모텔",제주특별자치도 제주시 신대로 60,연동 300-4,,,숙소
바다의향기오션뷰펜션,펜션,제주특별자치도 서귀포시 대정읍 송악관광로177번길 254-6,대정읍 상모리 71-8,1833-9306,http://xn--ok0b52guvjwvl61ao2bky2c.com/,숙소
해마호텔,호텔,제주특별자치도 제주시 삼무로 28,연동 261-3,064-766-4000,,숙소
제주골든비치펜션,펜션,제주특별자치도 제주시 서해안로 486-3,용담삼동 2342,064-743-8100,https://pridge.kr/v2/camping/campinginfo/102584,숙소
무명화가의집게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 시흥하동로55번길 23-5,성산읍 시흥리 139,010-9594-6126,http://nonamepainter.net/,숙소
달토끼펜션,펜션,제주특별자치도 제주시 구좌읍 세평항로 45-11,구좌읍 평대리 3347-3,1833-9306,http://moonrabbit.kr/,숙소
시티홀호텔,"여관,모텔",제주특별자치도 제주시 동광로4길 9-4,이도이동 1176-43,064-726-5678,https://blog.naver.com/kstaru,숙소
애월애휴양펜션,펜션,제주특별자치도 제주시 애월읍 신엄1길 12,애월읍 신엄리 3075,064-799-8879,https://site.onda.me/130389,숙소
중문리조트,"콘도,리조트",제주특별자치도 서귀포시 색달로 117,색달동 1821-3,064-738-0085,http://www.jungmunrst.com/,숙소
T아일랜드,펜션,제주특별자치도 서귀포시 막숙포로 100,법환동 1452,064-738-1577,http://www.tisland.co.kr/,숙소
이호MH호텔,호텔,제주특별자치도 제주시 현사길 33 1~4층,이호일동 1812-7,064-743-6444,http://ihomhhotel.com/,숙소
허브인휴양펜션,펜션,제주특별자치도 제주시 한림읍 귀덕6길 92-17,한림읍 귀덕리 2731,064-796-6604,http://www.jejuherbin.co.kr/,숙소
코니호텔,"여관,모텔",제주특별자치도 제주시 애월읍 가문동길 79,애월읍 하귀2리 2810-1,0507-1328-3194,https://booking.naver.com/booking/3/bizes/738472,숙소
씨에나펜션,펜션,제주특별자치도 서귀포시 예래로 267,하예동 351-4,064-739-6623,http://jejusiena.co.kr/,숙소
쁘띠제주빅터펜션,펜션,제주특별자치도 제주시 서해안로 340,도두이동 713-3,064-744-1512,http://www.jejuvictor.com/,숙소
낭만제주펜션,펜션,제주특별자치도 제주시 도두5길 23,도두일동 1871-1,064-713-7705,https://www.nangman-jeju.com/,숙소
제주오션뷰펜션,펜션,제주특별자치도 제주시 구좌읍 덕행로 276,구좌읍 행원리 2790,064-782-9464,http://www.jejuoceanview.co.kr/,숙소
가름게스트하우스,게스트하우스,제주특별자치도 서귀포시 법환하로9번길 10,법환동 1330,064-739-4499,http://www.galeum.com/,숙소
오션뷰제주 게스트하우스,게스트하우스,제주특별자치도 서귀포시 안덕면 난드르로 49-71,안덕면 창천리 785-2,010-4847-3824,https://blog.naver.com/ocean_view_jeju,숙소
플랜비,게스트하우스,제주특별자치도 제주시 애월읍 애월해안로 910,애월읍 하귀2리 2710-6,0507-1319-7090,http://blog.naver.com/jeju_plan_b,숙소
메르블루호텔,호텔,제주특별자치도 제주시 서해안로 368 1~4층,도두이동 680,064-712-4711,,숙소
돌하르방캠핑장,"야영,캠핑장",제주특별자치도 제주시 한경면 낙수로 271-40,한경면 청수리 2130,064-773-0102,http://www.jejudolharbang.com/,숙소
나르샤리조트,"콘도,리조트",제주특별자치도 서귀포시 안덕면 사계북로 52,안덕면 사계리 2763-4,064-792-8522,https://pridge.kr/v2/camping/campinginfo/120209,숙소
제이앤비,호텔,제주특별자치도 서귀포시 토평남로30번길 10-8,토평동 237-2,064-733-8864,http://www.jnbhotel.com/,숙소
휴스테이 금호,호텔,제주특별자치도 서귀포시 성산읍 성산중앙로 30-11,성산읍 성산리 155-1,010-5511-1588,http://hustay.kr/,숙소
세인트비치호텔,호텔,제주특별자치도 제주시 조천읍 조함해안로 504,조천읍 함덕리 1269-19,064-735-2300,http://www.saintbeachhotel.com/,숙소
제주올레돔펜션,펜션,제주특별자치도 서귀포시 성산읍 온평포구로54번길 54,성산읍 온평리 1139-2,064-784-1177,http://jejuolledome.com/,숙소
레드클레이펜션,펜션,제주특별자치도 제주시 애월읍 신상로 266,애월읍 하가리 120-50,064-733-5212,https://jejuredclay.modoo.at/,숙소
캐슬렉스제주골프클럽 골프텔,"콘도,리조트",제주특별자치도 서귀포시 안덕면 평화로 1241,안덕면 광평리 351,064-793-6630,http://www.castlexjj.com/html/golftel/golftel01.asp,숙소
서귀포힐즈호텔,호텔,제주특별자치도 서귀포시 신서로48번길 50,법환동 741-2,064-739-7300,http://www.sgphillshotel.co.kr/,숙소
해마지펜션,펜션,제주특별자치도 서귀포시 성산읍 일주동로 5431,성산읍 신천리 105-1,064-787-2465,http://www.haemajipension.com/,숙소
끌림36.5,게스트하우스,제주특별자치도 제주시 애월읍 고내로13길 83,애월읍 고내리 363-1,010-4832-0365,https://blog.naver.com/kkdland,숙소
샤모니리조트,"콘도,리조트",제주특별자치도 서귀포시 중산간서로 68,강정동 1545,064-739-1200,https://chamonixresort.modoo.at/,숙소
뽀요요펜션카페,펜션,제주특별자치도 제주시 우도면 우도해안길 128,우도면 연평리 2652,010-9737-8118,http://www.poyoyo.co.kr/,숙소
퓨어스테이,호텔,제주특별자치도 제주시 신대로 68,연동 301-3,,,숙소
오션하우스,펜션,제주특별자치도 서귀포시 안덕면 사계남로216번길 42,안덕면 사계리 123,010-4526-4541,http://oceanhouse.co.kr/,숙소
더포힐스호텔,"여관,모텔",제주특별자치도 제주시 서해안로 258,도두이동 1644-4,064-744-5672,https://jbadahotel.modoo.at/,숙소
스테이헤이븐,펜션,제주특별자치도 제주시 애월읍 애월로 11,애월읍 애월리 2467,064-799-7252,https://pridge.kr/v2/camping/campinginfo/105040,숙소
빈티지1950카페펜션,펜션,제주특별자치도 제주시 구좌읍 덕행로 175-48,구좌읍 행원리 1950,010-7349-7319,http://vintage1950.com/,숙소
더클라우드풀&스파,호텔,제주특별자치도 서귀포시 성산읍 한도로 269-37,성산읍 성산리 308,064-783-8366,,숙소
나비스호스텔,유스호스텔,제주특별자치도 제주시 애월읍 애월해안로 885,애월읍 하귀2리 2749-3,064-712-5200,,숙소
제주게스트하우스,게스트하우스,제주특별자치도 제주시 용화로10길 14,용담이동 639-3,010-9877-1092,https://m.search.naver.com/search.naver?sm=mtb_hty.top&where=m&oquery=%EC%A0%9C%EC%A3%BC+%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%95%98%EC%9A%B0%EC%8A%A4&tqi=hqrrqwqVbVGssn1aLd8sssssse4-316076&query=%EC%A0%9C%EC%A3%BC+%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%95%98%EC%9A%B0%EC%8A%A4%EB%AF%BC%EB%B0%95,숙소
해미안,펜션,제주특별자치도 제주시 일주서로 7353,외도이동 338-1,064-713-2001,http://www.haimian.co.kr/,숙소
리시온호텔,호텔,제주특별자치도 서귀포시 표선면 표선동서로 263,표선면 표선리 591-1,064-787-8841,http://www.rezionhotel.com/,숙소
제주담스테이,호텔,제주특별자치도 제주시 중앙로2길 35-1,삼도이동 1183-2,064-753-1185,https://blog.naver.com/assist_j,숙소
아루미호텔 협재점,"여관,모텔",제주특별자치도 제주시 한림읍 한림로 545,한림읍 옹포리 393,064-738-5947,http://www.aroomi.co.kr/,숙소
여누스테이,펜션,제주특별자치도 제주시 조천읍 남조로 1842 1~3층,조천읍 교래리 산 61-1,064-782-2900,https://www.instagram.com/yeonu_stay/,숙소
호텔하루시다,호텔,제주특별자치도 서귀포시 안덕면 사계로114번길 130,안덕면 사계리 724,064-792-2002,https://www.harusida.com/,숙소
푸른제주펜션,펜션,제주특별자치도 서귀포시 성산읍 한도로 256,성산읍 성산리 260-2,064-783-4830,http://www.preunjeju.co.kr/,숙소
자인빌리지펜션,펜션,제주특별자치도 서귀포시 하신상로 174-21,상효동 112-3,064-733-4824,http://zainvill.com/,숙소
편운산장,펜션,제주특별자치도 서귀포시 성산읍 서성일로 898-38,성산읍 수산리 1687-3,064-784-8088,,숙소
호텔메이저2,호텔,제주특별자치도 제주시 은남4길 40,연동 273-54,064-742-6889,http://hotelmajorjeju.com/two,숙소
쉬멍놀멍,펜션,제주특별자치도 제주시 한림읍 협재2길 30,한림읍 협재리 2557-1,064-745-0099,https://pridge.kr/v2/camping/campinginfo/104521,숙소
제주R호텔,"여관,모텔",제주특별자치도 제주시 서광로14길 5,삼도1동 565-19,,,숙소
몽듀호텔,"여관,모텔",제주특별자치도 제주시 서해안로 382,용담삼동 2572,,,숙소
헤르츠호텔,호텔,제주특별자치도 제주시 중앙로 252,이도이동 1010,064-759-7749,,숙소
해밀리조트,"콘도,리조트",제주특별자치도 제주시 애월읍 광상로 272,애월읍 유수암리 617-1,010-4185-3004,https://pridge.kr/v2/camping/campinginfo/120851,숙소
그랑빌펜션,펜션,제주특별자치도 서귀포시 중문관광로 17,색달동 2512,064-739-9994,http://www.grandville.co.kr/,숙소
테라스힐,펜션,제주특별자치도 제주시 아봉로 346,월평동 965-2,0507-1350-3478,http://www.terracehilljeju.com/,숙소
스카이힐비지니스호텔,호텔,제주특별자치도 제주시 서광로24길 1,삼도일동 580-27,064-751-5177,http://skyhillhotel.com/,숙소
서귀포귤림성,펜션,제주특별자치도 서귀포시 일주동로 8941,호근동 569-2,064-739-3331,http://www.gyulimsung.com/,숙소
비앤썬펜션,펜션,제주특별자치도 서귀포시 성산읍 환해장성로 929-7,성산읍 고성리 592,010-4340-0065,http://www.bnsun.co.kr/,숙소
보롬코지펜션,펜션,제주특별자치도 제주시 구좌읍 해맞이해안로 402,구좌읍 월정리 670-5,010-3734-1114,https://boromcozy.modoo.at/,숙소
쥬디스펜션,펜션,제주특별자치도 제주시 현사안길 40,이호일동 1709,010-7280-4551,http://jejujudith.com/,숙소
로그맨하우스,펜션,제주특별자치도 제주시 애월읍 소길남길 179,애월읍 소길리 975,064-799-3177,http://www.logman.co.kr/,숙소
아마빌레펜션,펜션,제주특별자치도 제주시 애월읍 애월해안로 909,애월읍 하귀2리 2708,010-2266-4900,http://xn--om2b15ad1g31i8wdoqb.com/,숙소
F1모텔,"여관,모텔",제주특별자치도 제주시 사장1길 18,연동 294-87,064-711-0939,,숙소
제주락,펜션,제주특별자치도 서귀포시 월드컵로 203,법환동 1540,010-8765-1828,http://www.jejurak.com/,숙소
UTS골프빌리지,"콘도,리조트",제주특별자치도 제주시 애월읍 광령평화2길 170-2,애월읍 광령리 2807-3,064-799-0794,http://www.utsjeju.com/,숙소
제주인관광호텔,숙박,제주특별자치도 제주시 신산마을길 20,내도동 277-1,064-741-1100,,숙소
씨클리프호텔제주,호텔,제주특별자치도 제주시 애월읍 애월해안로 554-8,애월읍 신엄리 2734-1,064-799-9955,https://seacliffjeju.com/,숙소
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,호텔,제주특별자치도 제주시 서부두2길 26,건입동 1443-2,064-795-7000,http://www.hotelwhistle.com/,숙소
라관광호텔,호텔,제주특별자치도 제주시 연북로 217,오라이동 3100-1,064-713-6260,http://www.rahotel.net/,숙소
호텔W 신제주점,호텔,제주특별자치도 제주시 은남4길 42,연동 273-36,064-752-7000,,숙소
포시즌호텔,호텔,제주특별자치도 제주시 원노형3길 19,노형동 914,064-900-5453,,숙소
천지연호텔,호텔,제주특별자치도 서귀포시 솔동산로 40,서귀동 654-5,064-762-1002,https://cheonjiyeonhotel.modoo.at/,숙소
애플관광호텔,호텔,제주특별자치도 제주시 동광로 45,이도일동 1244-7,064-725-1552,,숙소
힐스테이트제주,호텔,제주특별자치도 제주시 연동6길 5,연동 263-2,070-4458-5922,http://hillestate.net/,숙소
씨앤호텔,호텔,제주특별자치도 제주시 일주서로 7490,내도동 15-1,,,숙소
에이원호텔,호텔,제주특별자치도 제주시 사장1길 10,연동 294-37,064-748-8300,,숙소
맨하탄호텔,호텔,제주특별자치도 제주시 도령로 66,연동 251-29,064-742-7991,,숙소
골든파크호텔,호텔,제주특별자치도 제주시 서광로2길 9,오라일동 2442-5,064-752-5820,,숙소
벙커호텔앤리조트,호텔,제주특별자치도 서귀포시 중산간동로8183번길 16,서홍동 1777-3,064-900-1117,http://bunkerhotel.tistory.com/,숙소
드림제주호텔,호텔,제주특별자치도 서귀포시 대정읍 하모항구로6번길 5,대정읍 하모리 2132,064-792-0251,http://xn--hy1bm6gp9ovzaf91avlh.com/,숙소
르네상스호텔,호텔,제주특별자치도 제주시 서사로14길 1,삼도일동 531,064-757-8090,,숙소
호텔더그랑 중문,호텔,제주특별자치도 서귀포시 색달중앙로 19,색달동 2534-1,,,숙소
호텔 스테이인터뷰 제주,호텔,제주특별자치도 서귀포시 중문관광로 288,대포동 1695,064-738-1956,,숙소
해호텔,호텔,제주특별자치도 제주시 서해안로 526,용담삼동 1161,064-742-5356,,숙소
성산비치호텔,호텔,제주특별자치도 서귀포시 성산읍 성산등용로 13,성산읍 성산리 234-19,064-784-1000,,숙소
비치스토리호텔,호텔,제주특별자치도 제주시 조천읍 조함해안로 492-5,조천읍 함덕리 1252-10,064-784-7400,https://www.instagram.com/beachstoryhotel,숙소
스와브호텔,호텔,제주특별자치도 서귀포시 서홍로 102,서홍동 1289,064-733-2272,http://www.suavehotel.co.kr/,숙소
호텔MCC,호텔,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 29,성산읍 고성리 444-7,064-784-2529,http://mccjeju.com/mcc/,숙소
라움호텔,호텔,제주특별자치도 제주시 신광로10길 1,연동 268,064-747-3399,http://www.raumhotel.co.kr/,숙소
아트스테이함덕비치,호텔,제주특별자치도 제주시 조천읍 조함해안로 504,조천읍 함덕리 1269-19,064-735-2300,http://www.h-hamdeokbeach.com/,숙소
레브호텔,호텔,제주특별자치도 제주시 은남1길 15,연동 292-17,064-745-8228,,숙소
세종호텔,호텔,제주특별자치도 제주시 신광로 74,연동 263-5,064-746-6151,,숙소
더퍼스트호텔,호텔,제주특별자치도 제주시 한림읍 한림로 695,한림읍 한림리 1314-35,064-796-6950,http://www.thefirsthotel.co.kr/,숙소
오렌지호텔,호텔,제주특별자치도 서귀포시 태평로335번길 3,서귀동 317-7,064-762-9393,,숙소
호텔홀라인 제주협재점,호텔,제주특별자치도 제주시 한림읍 한림로 197,한림읍 금능리 1296-3,070-4257-9563,http://hollain.com/,숙소
이큐스테이,호텔,제주특별자치도 제주시 한림읍 금능남1길 6-1,한림읍 금능리 1258,064-796-5000,http://www.eqstay.com/,숙소
호텔버지니아,호텔,제주특별자치도 서귀포시 중정로61번길 31,서귀동 289-13,,,숙소
노블레스호텔,호텔,제주특별자치도 제주시 연동8길 31,연동 278-1,,,숙소
올레관광호텔,호텔,제주특별자치도 제주시 서광로 254,삼도일동 580-31,064-723-2727,,숙소
호텔 서귀피안,호텔,제주특별자치도 서귀포시 보목로64번길 178,보목동 1453,064-735-1453,http://hotelseogwipean.com/,숙소
제주비치호텔W,호텔,제주특별자치도 제주시 조천읍 조함해안로 474,조천읍 함덕리 1010,,,숙소
나이스호텔,호텔,제주특별자치도 제주시 논세길 96-38,내도동 104,064-749-0105,http://www.nicehoteljeju.com/,숙소
신신호텔 제주오션,호텔,제주특별자치도 서귀포시 중앙로 14,서귀동 494,064-730-5800,http://shinshinhoteljejuocean.com/,숙소
호텔에이치아이,호텔,제주특별자치도 서귀포시 중앙로47번길 25,서귀동 319-2,064-762-2200,http://www.hotelhi.co.kr/,숙소
호텔아나타,호텔,제주특별자치도 제주시 만덕로6길 31,일도일동 1198-5,,https://instagram.com/hotel.anatah,숙소
카세로지,호텔,제주특별자치도 서귀포시 표선면 가시로 383,표선면 가시리 997-1,064-780-4800,http://www.kaselodge.com/,숙소
호텔더블유 탑동점,호텔,제주특별자치도 제주시 임항로 24,건입동 1388-2,,,숙소
그랜드조선 힐 스위트,특급호텔,제주특별자치도 서귀포시 중문관광로72번길 60,색달동 2101,,https://gjj.josunhotel.com/,숙소
오로라호텔,호텔,제주특별자치도 제주시 논세길 51,내도동 239-1,064-747-5203,http://jejuaurora.jalib.site/,숙소
모슬포호텔 3동,호텔,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 15,대정읍 하모리 2129-3,010-3613-4723,http://xn--v52bq0mvvm4pc90d.com/,숙소
에메랄드호텔,호텔,제주특별자치도 제주시 중앙로12길 35,삼도2동 936,064-751-0061,https://jejucnhs.modoo.at,숙소
성산포스카이호텔,호텔,제주특별자치도 서귀포시 성산읍 동류암로36번길 6,성산읍 고성리 298-45,064-783-0808,,숙소
호텔제이엠,호텔,제주특별자치도 제주시 삼무로1길 10-7,연동 260-40,064-747-6766,http://hoteljm.co.kr/,숙소
제주슬림호텔,호텔,제주특별자치도 제주시 서광로 292-1,이도2동 1776-31,064-722-1555,https://jejuslimhotel.modoo.at/,숙소
애월비치호텔,호텔,제주특별자치도 제주시 애월읍 애월해안로 554-10 1층,애월읍 신엄리 2735-1,064-799-9952,http://aewolbeach.co.kr/,숙소
호텔캘리포니아,호텔,제주특별자치도 서귀포시 김정문화로27번길 14-4,강정동 164-1,064-738-9901,https://www.hotelcaliforniajeju.com/,숙소
케이관광호텔,호텔,제주특별자치도 제주시 연동3길 10,연동 251-79,064-743-2123,http://www.jejukhotel.co.kr/,숙소
제니아호텔,호텔,제주특별자치도 제주시 은남1길 25,연동 282-20,064-797-9000,http://www.xeniahotel.co.kr/,숙소
파크사이드호텔,호텔,제주특별자치도 제주시 도령로 126,연동 270-1,,,숙소
오션호텔,호텔,제주특별자치도 서귀포시 표선면 표선중앙로 94,표선면 표선리 634-8,064-787-1414,,숙소
다이아몬드호텔,호텔,제주특별자치도 제주시 신대로12길 42,연동 282-12,064-742-7746,,숙소
위플스테이,호텔,제주특별자치도 제주시 도령로 102,연동 260-25,,http://weplestay.com/,숙소
선스테이호텔,호텔,제주특별자치도 제주시 신광로 93,연동 276,064-744-7545,http://sunstayhotel.com/,숙소
탐라지오호텔,호텔,제주특별자치도 제주시 신광로 79,연동 274-7,064-712-0117,http://tamragio.com/,숙소
제주 하나리조트,호텔,제주특별자치도 서귀포시 성산읍 일주동로 4995 오션갤러리 프리미어 빌라스 3단지,성산읍 신산리 317,,,숙소
제이그랜드호텔,호텔,제주특별자치도 제주시 삼무로 57,연동 281-22,,,숙소
